pixelx,pixely,pixelz,robotx,roboty,robotz
         315,         114,         543,           0.503806,          -0.039617,           0.055043
         316,         137,         542,           0.523798,          -0.039643,           0.055004
         316,         160,         540,           0.543795,          -0.039612,           0.054993
         316,         182,         541,           0.563796,          -0.039605,           0.055032
         317,         205,         539,           0.583797,          -0.039667,           0.055029
         317,         228,         537,           0.603818,          -0.039630,           0.055049
         317,         251,         538,           0.623825,          -0.039664,           0.055030
         318,         274,         537,           0.643818,          -0.039636,           0.055082
         318,         297,         536,           0.663815,          -0.039618,           0.055040
         318,         320,         535,           0.683811,          -0.039610,           0.055076
         319,         343,         536,           0.703806,          -0.039643,           0.055014
         319,         366,         535,           0.723816,          -0.039598,           0.055022
         319,         390,         533,           0.743810,          -0.039660,           0.055003
         319,         413,         531,           0.763819,          -0.039621,           0.055053
         343,         413,         534,           0.763812,          -0.019671,           0.054977
         342,         389,         533,           0.743783,          -0.019790,           0.054908
         342,         366,         534,           0.723777,          -0.019724,           0.054949
         341,         343,         535,           0.703828,          -0.019765,           0.055004
         341,         319,         535,           0.683801,          -0.019696,           0.054911
         341,         296,         536,           0.663762,          -0.019703,           0.054854
         340,         273,         537,           0.643775,          -0.019738,           0.054871
         340,         250,         537,           0.623761,          -0.019747,           0.054851
         340,         228,         537,           0.603768,          -0.019734,           0.054924
         339,         205,         538,           0.583760,          -0.019733,           0.054890
         339,         182,         537,           0.563777,          -0.019703,           0.054886
         339,         159,         540,           0.543811,          -0.019731,           0.054964
         338,         136,         540,           0.523782,          -0.019696,           0.054915
